ZCTA,cancer_25to34,cancer_35to44,cancer_45to54,cancer_55to64,cancer_65to74,cancer_75to84,cancer_85up
ZCTA33133,3,8,18,51,76,68,68
ZCTA33134,,2,13,49,95,84,104
ZCTA33135,3,9,18,46,86,110,81
ZCTA33136,,3,15,41,40,34,23
ZCTA33137,1,6,15,33,40,27,37
ZCTA33138,3,3,16,54,69,61,40
ZCTA33139,1,7,13,35,56,68,48
ZCTA33140,,2,13,14,35,48,58
ZCTA33141,,4,14,62,77,72,52
ZCTA33142,5,8,37,124,130,157,82
ZCTA33143,4,2,15,30,53,80,51
ZCTA33144,1,7,15,44,52,100,82
ZCTA33145,1,3,11,36,62,85,72
ZCTA33146,,,2,12,20,24,24
ZCTA33147,2,13,52,106,149,109,54
ZCTA33149,,2,8,10,16,30,26
ZCTA33150,2,6,23,72,61,53,19
ZCTA33152,,,,1,,,
ZCTA33153,,,,,,,1
ZCTA33154,1,3,1,11,31,32,35
ZCTA33155,2,9,15,69,99,152,142
ZCTA33156,2,4,12,32,45,65,59
ZCTA33157,3,12,47,107,148,143,124
ZCTA33158,,,,7,12,19,17
ZCTA33159,,,,,1,,
ZCTA33160,2,3,17,43,99,139,135
ZCTA33161,5,14,44,115,143,88,49
ZCTA33162,5,5,28,69,100,80,43
ZCTA33163,,,,,,1,1
ZCTA33165,5,8,16,74,163,218,171
ZCTA33166,2,4,9,24,52,56,45
ZCTA33167,3,3,14,44,56,47,22
ZCTA33168,1,8,11,39,62,44,17
ZCTA33169,,,,1,,,
ZCTA33169,3,10,22,71,97,77,44
ZCTA33170,2,5,15,31,16,20,14
ZCTA33172,5,6,33,42,73,75,60
ZCTA33173,3,3,18,39,56,78,105
ZCTA33174,1,4,15,36,59,108,85
ZCTA33175,5,7,27,63,143,159,110
ZCTA33176,3,11,25,72,119,133,92
ZCTA33177,,5,35,88,101,121,55
ZCTA33178,4,6,13,47,66,57,20
ZCTA33179,,,,,,1,1
ZCTA33179,5,5,18,68,83,68,59
ZCTA33180,,,,,,1,
ZCTA33180,2,3,16,31,72,96,130
ZCTA33181,,7,11,25,39,43,37
ZCTA33182,,2,9,16,17,38,16
ZCTA33183,,9,18,43,82,72,71
ZCTA33184,1,1,14,42,41,62,27
ZCTA33185,1,4,14,32,45,60,35
ZCTA33186,5,8,34,84,143,153,93
ZCTA33187,1,3,12,28,33,42,33
ZCTA33189,2,7,15,22,59,51,32
ZCTA33190,1,3,4,10,25,19,5
ZCTA33193,2,11,18,49,81,83,54
ZCTA33194,1,,1,5,5,5,3
ZCTA33196,1,7,21,56,56,83,67
ZCTA33238,,,,,1,,
ZCTA33239,,,,,,,1
ZCTA33301,,1,7,25,32,31,23
ZCTA33302,,,,,1,,
ZCTA33303,,,,,,1,
ZCTA33304,1,3,11,48,55,40,23
ZCTA33305,,2,10,26,38,34,23
ZCTA33306,,,1,11,8,12,16
ZCTA33307,,,1,,1,,1
ZCTA33308,,7,17,67,134,132,130
ZCTA33309,2,9,24,68,83,64,38
ZCTA33311,6,24,64,184,192,174,78
ZCTA33312,7,6,41,104,120,103,56
