ZCTA,covid_25to34,covid_35to44,covid_45to54,covid_55to64,covid_65to74,covid_75to84,covid_85up
ZCTA32922,,1,6,10,7,12,4
ZCTA32926,,5,3,5,15,15,10
ZCTA32927,1,1,4,10,3,6,6
ZCTA32931,,,3,4,3,7,8
ZCTA32932,,,,,,1,
ZCTA32934,1,2,1,2,5,10,5
ZCTA32935,2,1,6,12,20,30,26
ZCTA32937,,1,2,3,4,21,21
ZCTA32940,,,5,6,12,22,32
ZCTA32948,,2,1,4,3,2,1
ZCTA32949,,,,,1,3,
ZCTA32950,,,,1,,3,3
ZCTA32951,,,,3,1,7,4
ZCTA32952,1,2,2,8,8,13,21
ZCTA32953,1,3,2,5,14,12,23
ZCTA32955,1,1,4,7,13,15,15
ZCTA32958,,1,3,11,14,13,18
ZCTA32960,3,,,11,8,12,28
ZCTA32962,,,4,9,15,19,13
ZCTA32963,,,,,2,10,13
ZCTA32966,,1,1,2,10,16,33
ZCTA32967,,3,2,6,6,12,18
ZCTA32968,1,1,,2,3,5,3
ZCTA32976,,,,1,5,9,12
ZCTA32976,,,,,,1,
ZCTA33001,,,,,,1,
ZCTA33004,1,1,,6,11,6,7
ZCTA33009,1,,4,15,23,42,28
ZCTA33009,,,,,1,1,
ZCTA33010,4,4,14,28,42,76,85
ZCTA33012,3,4,11,32,62,105,104
ZCTA33013,2,2,8,16,28,39,42
ZCTA33014,3,1,9,16,28,35,30
ZCTA33015,2,3,11,19,33,43,27
ZCTA33016,,1,10,22,33,40,40
ZCTA33018,1,3,7,27,30,41,31
ZCTA33019,,1,2,3,8,9,11
ZCTA33020,,4,2,17,20,19,21
ZCTA33021,2,3,7,24,34,31,38
ZCTA33023,5,4,13,30,36,34,20
ZCTA33023,,,1,1,2,,
ZCTA33024,2,9,12,17,30,34,25
ZCTA33025,2,4,6,19,32,21,29
ZCTA33025,,,,1,,,
ZCTA33026,1,2,5,8,16,13,14
ZCTA33027,,2,7,19,25,35,32
ZCTA33028,,1,2,4,5,9,7
ZCTA33029,,,4,1,9,11,8
ZCTA33029,,,,1,,,
ZCTA33030,,7,8,8,20,11,10
ZCTA33031,1,,,,5,4,1
ZCTA33032,3,4,7,23,18,21,17
ZCTA33033,3,5,9,22,31,22,17
ZCTA33034,3,3,5,10,9,10,4
ZCTA33035,1,3,2,4,4,2,1
ZCTA33036,,,,,,1,1
ZCTA33037,,,1,2,1,1,6
ZCTA33040,3,4,6,6,12,16,3
ZCTA33042,,,2,1,,1,2
ZCTA33043,,,1,,1,,
ZCTA33050,,,2,2,4,4,5
ZCTA33054,,8,10,16,31,20,25
ZCTA33055,3,6,5,15,34,37,32
ZCTA33056,2,6,7,17,35,24,12
ZCTA33060,4,5,4,24,20,19,25
ZCTA33062,1,,,4,10,20,18
ZCTA33063,2,1,10,19,19,39,32
ZCTA33064,1,7,9,24,31,26,15
ZCTA33065,4,3,6,13,21,24,18
ZCTA33066,1,,,3,12,20,18
ZCTA33067,,2,1,4,4,8,3
ZCTA33068,2,9,10,17,21,18,18
ZCTA33069,2,2,6,10,17,16,15
ZCTA33070,,,,4,1,2,3
ZCTA33071,,2,5,7,7,13,8
ZCTA33073,,,2,3,8,13,11
ZCTA33075,,,,,,,1
ZCTA33076,,2,3,4,10,5,7
ZCTA33122,,,,,2,,
ZCTA33125,3,5,7,26,35,54,52
ZCTA33126,3,1,4,16,36,53,53
ZCTA33127,4,12,4,17,19,18,16
ZCTA33128,1,4,2,3,6,13,15
ZCTA33129,1,,,2,3,8,8
ZCTA33130,1,3,3,10,20,20,24
ZCTA33131,,1,1,1,1,6,
ZCTA33132,1,1,1,2,2,,1
ZCTA33133,,7,5,11,24,14,21
ZCTA33134,3,1,5,4,13,28,38
ZCTA33135,2,4,6,16,34,36,27
ZCTA33136,,4,2,7,9,16,12
ZCTA33137,6,7,7,7,14,14,15
