ZCTA,heart_25to34,heart_35to44,heart_45to54,heart_55to64,heart_65to74,heart_75to84,heart_85up
ZCTA32667,,,,5,8,3,10
ZCTA32667,,,1,2,2,3,8
ZCTA32668,,,3,9,15,19,27
ZCTA32668,,,,3,1,4,2
ZCTA32669,,4,1,15,22,34,34
ZCTA32669,,,,1,4,4,2
ZCTA32680,,3,13,28,43,50,34
ZCTA32681,,,1,2,,2,1
ZCTA32683,,,1,3,,1,
ZCTA32686,1,1,7,15,23,22,18
ZCTA32692,,,,,,2,3
ZCTA32693,,1,3,13,20,30,35
ZCTA32693,,,,6,8,17,11
ZCTA32694,,,,9,9,9,5
ZCTA32696,,4,7,15,34,41,42
ZCTA32696,,,,2,1,,4
ZCTA32697,,,,,,,1
ZCTA32701,2,4,13,22,39,56,129
ZCTA32702,,,3,6,9,18,49
ZCTA32702,,,,1,,,5
ZCTA32703,3,9,24,64,76,91,118
ZCTA32703,2,3,1,8,13,18,46
ZCTA32706,,,,1,,,2
ZCTA32707,,8,14,54,72,79,124
ZCTA32708,4,4,12,44,71,89,167
ZCTA32709,,,1,9,5,12,11
ZCTA32712,3,7,17,52,72,101,133
ZCTA32713,,3,6,28,49,89,163
ZCTA32714,,,1,,,,1
ZCTA32714,,6,16,40,52,76,116
ZCTA32715,,,,,,1,
ZCTA32716,,,,,,,1
ZCTA32720,,1,4,5,9,5,2
ZCTA32720,3,14,27,52,85,126,224
ZCTA32721,,,,,1,2,
ZCTA32722,,,,,,,1
ZCTA32724,4,6,24,65,115,165,287
ZCTA32725,1,6,31,68,110,187,264
ZCTA32726,2,7,16,31,75,105,148
ZCTA32728,,,,1,,,1
ZCTA32730,,,5,7,10,24,26
ZCTA32732,,2,3,12,7,18,21
ZCTA32735,,,,9,13,32,33
ZCTA32736,,3,7,17,32,36,47
ZCTA32738,3,19,19,78,100,93,146
ZCTA32744,1,,2,5,6,13,23
ZCTA32746,4,2,16,25,54,92,201
ZCTA32747,,,,1,,,
ZCTA32750,3,3,7,31,57,85,170
ZCTA32751,,2,6,10,21,29,101
ZCTA32751,2,,2,4,9,16,34
ZCTA32754,3,3,9,38,49,52,53
ZCTA32754,1,,,1,,,
ZCTA32756,,,,,,1,
ZCTA32757,,3,14,43,60,98,177
ZCTA32757,,,2,3,3,4,10
ZCTA32759,1,2,2,11,10,15,15
ZCTA32763,4,4,15,36,71,101,250
ZCTA32764,1,,6,3,14,14,16
ZCTA32765,4,5,20,34,47,99,214
ZCTA32766,,,,,,,1
ZCTA32766,,2,5,6,17,21,24
ZCTA32767,,1,6,4,12,14,7
ZCTA32768,,,,,,2,
ZCTA32771,5,12,32,92,107,109,186
ZCTA32772,,,,2,1,,
ZCTA32773,5,12,17,50,45,55,80
ZCTA32776,,1,4,21,26,29,22
ZCTA32777,,,,2,1,5,2
ZCTA32778,4,,10,41,85,168,183
ZCTA32779,1,3,7,13,41,50,140
ZCTA32780,4,8,26,93,100,187,271
ZCTA32784,,4,9,22,29,32,48
ZCTA32784,,2,2,8,8,12,7
ZCTA32789,,,10,24,38,55,125
ZCTA32791,,,,,,1,
ZCTA32792,2,5,6,26,42,53,235
ZCTA32792,3,4,3,17,31,48,87
ZCTA32794,,,,,,,1
ZCTA32795,,,,,,2,
ZCTA32796,2,5,12,59,66,118,135
ZCTA32798,1,2,2,9,15,28,45
ZCTA32801,2,6,7,17,27,51,154
ZCTA32802,,,1,,,,1
ZCTA32803,1,2,12,19,25,31,83
ZCTA32804,1,3,5,24,31,33,77
ZCTA32805,5,10,38,71,86,77,105
ZCTA32806,3,2,20,47,44,65,127
ZCTA32807,2,12,14,40,53,91,96
ZCTA32808,7,19,40,96,80,102,90
ZCTA32809,1,1,21,27,37,50,73
ZCTA32810,6,11,22,51,57,63,76
ZCTA32811,7,13,28,60,76,80,70
ZCTA32812,4,2,18,28,43,79,130
ZCTA32814,,,2,5,7,4,8
ZCTA32817,3,3,14,27,37,56,86
ZCTA32818,6,12,20,70,89,92,89
ZCTA32819,,4,18,20,24,48,96
ZCTA32820,,4,3,10,22,17,18
ZCTA32821,1,10,10,13,27,33,62
ZCTA32822,7,15,34,79,99,124,147
ZCTA32824,3,7,19,21,42,56,66
ZCTA32824,,,,1,,,1
ZCTA32825,9,9,15,36,80,105,149
ZCTA32826,,3,5,20,26,38,50
ZCTA32827,,1,4,8,9,10,26
ZCTA32828,5,3,21,36,50,74,99
ZCTA32829,1,4,9,13,17,25,24
ZCTA32831,,,,,5,1,2
ZCTA32832,2,1,4,8,15,14,14
ZCTA32833,,2,10,12,16,17,22
ZCTA32834,,,,1,,,
ZCTA32835,3,7,15,27,48,53,69
ZCTA32836,,3,2,13,17,29,39
ZCTA32837,2,10,21,37,51,100,131
ZCTA32839,5,8,29,43,62,61,60
ZCTA32854,,,1,,,,
ZCTA32855,,,,,,,1
ZCTA32856,,,1,,,,
ZCTA32859,,,,1,,,
ZCTA32861,,,,,1,,
ZCTA32872,,,1,,,,
ZCTA32878,,,,2,,,
ZCTA32897,,,,,,1,
ZCTA32901,3,7,25,54,79,158,294
ZCTA32903,,,3,15,25,50,90
ZCTA32904,,5,15,29,84,145,291
ZCTA32905,,1,12,45,84,122,241
ZCTA32907,1,7,28,41,115,161,202
ZCTA32908,1,,8,20,33,21,40
ZCTA32909,1,,22,38,85,99,116
ZCTA32920,,3,10,29,38,42,51
ZCTA32922,4,10,17,58,52,53,69
ZCTA32924,,,,,1,1,
