ZCTA,Diabetes_15to19,Diabetes_20to24,Diabetes25to34,Diabetes_35to44,Diabetes_45to54,Diabetes_55to64,Diabetes_65to74,Diabetes_75to84,Diabetes_85up
ZCTA33807,,,,,,,1,,
ZCTA33805,1,,3,2,5,10,19,20,10
ZCTA33804,,,,,,,1,,
ZCTA33803,,,,3,5,5,11,9,8
ZCTA33801,,2,1,3,11,11,16,13,10
ZCTA33786,,,,,,1,1,,2
ZCTA33785,,,,,,1,1,3,1
ZCTA33782,,,,,4,8,15,7,13
ZCTA33781,,,2,,6,11,16,16,8
ZCTA33779,,,,,1,,,1,
ZCTA33778,,,,1,1,2,10,7,12
ZCTA33777,,,,,3,7,10,11,13
ZCTA33776,,,,1,,1,3,5,4
ZCTA33774,,,,,1,16,9,10,10
ZCTA33773,,,,1,1,9,11,9,5
ZCTA33772,,,,,2,3,10,11,19
ZCTA33771,,,,1,4,19,25,18,12
ZCTA33770,,,1,,1,13,10,11,7
ZCTA33769,,,,,,1,1,,
ZCTA33767,,,,,1,1,2,4,4
ZCTA33765,,,,,,6,7,3,3
ZCTA33764,,,,1,4,3,15,11,5
ZCTA33763,,,,,3,2,7,13,16
ZCTA33762,,,,1,,2,4,3,2
ZCTA33761,,,,,1,6,9,6,6
ZCTA33760,,1,,1,3,5,5,1,2
ZCTA33759,,,,,1,5,9,14,7
ZCTA33756,,,2,1,4,14,16,16,13
ZCTA33755,,,1,1,3,8,7,6,4
ZCTA33744,,,,,,,,1,
ZCTA33716,,,,,2,6,5,4,7
ZCTA33715,,,,,1,1,2,1,4
ZCTA33714,,,,,2,9,15,8,5
ZCTA33713,,,2,1,7,13,16,13,10
ZCTA33712,,,2,4,6,17,14,25,13
ZCTA33711,,,,,7,6,13,14,8
ZCTA33710,,1,,1,5,12,14,14,18
ZCTA33709,,,,1,5,16,20,20,16
ZCTA33708,,,,,2,5,9,7,6
ZCTA33707,,,,1,4,11,9,16,14
ZCTA33706,,,,,2,3,3,7,7
ZCTA33705,,,2,1,6,14,14,13,7
ZCTA33704,,,,,,4,5,5,5
ZCTA33703,,,,1,2,6,7,8,6
ZCTA33702,,,2,2,9,11,19,11,11
ZCTA33701,,,,1,2,9,12,9,3
ZCTA33685,,,,,,,1,,
ZCTA33647,,,,,6,6,12,6,4
ZCTA33637,,,,1,4,7,3,5,1
ZCTA33635,,,,1,3,4,5,1,5
ZCTA33634,,,1,,1,4,7,4,4
ZCTA33629,,,,,,1,8,2,6
ZCTA33626,,,,,,1,2,6,2
ZCTA33625,,,,,,1,4,4,2
ZCTA33624,,,,,3,6,6,9,6
ZCTA33621,,1,,,,,,1,
ZCTA33619,,,1,2,2,6,10,12,6
ZCTA33618,,,,1,1,6,5,7,9
ZCTA33617,,1,1,1,6,11,16,8,5
ZCTA33616,,,,1,3,2,1,5,4
ZCTA33615,1,,,1,2,13,15,9,7
ZCTA33614,,1,,1,9,4,14,25,16
ZCTA33613,,,,2,6,4,10,12,10
ZCTA33612,,,2,5,7,17,13,19,9
ZCTA33611,,,,,,3,4,8,6
